id,price
Bawang Merah/Aceh/2024-10-01,29188.82
Bawang Merah/Aceh/2024-10-02,29571.98
Bawang Merah/Aceh/2024-10-03,29240.9
Bawang Merah/Aceh/2024-10-04,29230.86
Bawang Merah/Aceh/2024-10-05,29505.9
Bawang Merah/Aceh/2024-10-06,29569.2
Bawang Merah/Aceh/2024-10-07,30391.42
Bawang Merah/Aceh/2024-10-08,30485.18
Bawang Merah/Aceh/2024-10-09,29922.98
Bawang Merah/Aceh/2024-10-10,29844.68
Bawang Merah/Aceh/2024-10-11,29803.6
Bawang Merah/Aceh/2024-10-12,30394.4
Bawang Merah/Aceh/2024-10-13,30952.88
Bawang Merah/Aceh/2024-10-14,31037.92
Bawang Merah/Aceh/2024-10-15,30632.48
Bawang Merah/Aceh/2024-10-16,30371.64
Bawang Merah/Aceh/2024-10-17,30134.42
Bawang Merah/Aceh/2024-10-18,30354.16
Bawang Merah/Aceh/2024-10-19,30116.52
Bawang Merah/Aceh/2024-10-20,29881.64
Bawang Merah/Aceh/2024-10-21,29872.34
Bawang Merah/Aceh/2024-10-22,30034.54
Bawang Merah/Aceh/2024-10-23,29678.92
Bawang Merah/Aceh/2024-10-24,29580.06
Bawang Merah/Aceh/2024-10-25,29580.38
Bawang Merah/Aceh/2024-10-26,29534.82
Bawang Merah/Aceh/2024-10-27,29550.08
Bawang Merah/Aceh/2024-10-28,29653.1
Bawang Merah/Aceh/2024-10-29,29868.18
Bawang Merah/Aceh/2024-10-30,29896.9
Bawang Merah/Aceh/2024-10-31,29727.58
Bawang Merah/Aceh/2024-11-01,29565.9
Bawang Merah/Aceh/2024-11-02,29330.78
Bawang Merah/Aceh/2024-11-03,29351.08
Bawang Merah/Aceh/2024-11-04,29379.2
Bawang Merah/Aceh/2024-11-05,29330.72
Bawang Merah/Aceh/2024-11-06,29414.6
Bawang Merah/Aceh/2024-11-07,29707.56
Bawang Merah/Aceh/2024-11-08,29833.58
Bawang Merah/Aceh/2024-11-09,29877.58
Bawang Merah/Aceh/2024-11-10,30066.94
Bawang Merah/Aceh/2024-11-11,30671.62
Bawang Merah/Aceh/2024-11-12,30951.68
Bawang Merah/Aceh/2024-11-13,31319.52
Bawang Merah/Aceh/2024-11-14,31797.66
Bawang Merah/Aceh/2024-11-15,32054.74
Bawang Merah/Aceh/2024-11-16,32715.72
Bawang Merah/Aceh/2024-11-17,32796.08
Bawang Merah/Aceh/2024-11-18,33224.96
Bawang Merah/Aceh/2024-11-19,33695.8
Bawang Merah/Aceh/2024-11-20,34189.04
Bawang Merah/Aceh/2024-11-21,34733.74
Bawang Merah/Aceh/2024-11-22,34975.38
Bawang Merah/Aceh/2024-11-23,35188.78
Bawang Merah/Aceh/2024-11-24,35391.1
Bawang Merah/Aceh/2024-11-25,35668.54
Bawang Merah/Aceh/2024-11-26,35956.42
Bawang Merah/Aceh/2024-11-27,36381.1
Bawang Merah/Aceh/2024-11-28,36553.82
Bawang Merah/Aceh/2024-11-29,36193.38
Bawang Merah/Aceh/2024-11-30,36146.58
Bawang Merah/Aceh/2024-12-01,36314.24
Bawang Merah/Aceh/2024-12-02,36337.92
Bawang Merah/Aceh/2024-12-03,36291.04
Bawang Merah/Aceh/2024-12-04,36343.68
Bawang Merah/Aceh/2024-12-05,36531.1
Bawang Merah/Aceh/2024-12-06,36765.2
Bawang Merah/Aceh/2024-12-07,37020.98
Bawang Merah/Aceh/2024-12-08,37041.44
Bawang Merah/Aceh/2024-12-09,36874.7
Bawang Merah/Aceh/2024-12-10,36802.42
Bawang Merah/Aceh/2024-12-11,36867.38
Bawang Merah/Aceh/2024-12-12,36678.1
Bawang Merah/Aceh/2024-12-13,36372.8
Bawang Merah/Aceh/2024-12-14,36322.9
Bawang Merah/Aceh/2024-12-15,36118.3
Bawang Merah/Aceh/2024-12-16,36024.52
Bawang Merah/Aceh/2024-12-17,35720.46
Bawang Merah/Aceh/2024-12-18,35492.24
Bawang Merah/Aceh/2024-12-19,35324.68
Bawang Merah/Aceh/2024-12-20,34769.86
Bawang Merah/Aceh/2024-12-21,34810.6
Bawang Merah/Aceh/2024-12-22,34795.08
Bawang Merah/Aceh/2024-12-23,35201.86
Bawang Merah/Aceh/2024-12-24,35254.16
Bawang Merah/Aceh/2024-12-25,35158.1
Bawang Merah/Aceh/2024-12-26,35137.7
Bawang Merah/Aceh/2024-12-27,35293.9
Bawang Merah/Aceh/2024-12-28,35585.84
Bawang Merah/Aceh/2024-12-29,35850.82
Bawang Merah/Aceh/2024-12-30,35885.9
Bawang Merah/Aceh/2024-12-31,35531.48
Bawang Merah/Bali/2024-10-01,20754.86
Bawang Merah/Bali/2024-10-02,20691.82
Bawang Merah/Bali/2024-10-03,20535.2
Bawang Merah/Bali/2024-10-04,20245.6
Bawang Merah/Bali/2024-10-05,20064.76
Bawang Merah/Bali/2024-10-06,20236.2
Bawang Merah/Bali/2024-10-07,20180.48
Bawang Merah/Bali/2024-10-08,19689.34
Bawang Merah/Bali/2024-10-09,19564.7
Bawang Merah/Bali/2024-10-10,19664.92
Bawang Merah/Bali/2024-10-11,19883.4
Bawang Merah/Bali/2024-10-12,19923.12
Bawang Merah/Bali/2024-10-13,19746.34
Bawang Merah/Bali/2024-10-14,19834.06
Bawang Merah/Bali/2024-10-15,19691.82
Bawang Merah/Bali/2024-10-16,19387.58
Bawang Merah/Bali/2024-10-17,19715.86
Bawang Merah/Bali/2024-10-18,19733.66
Bawang Merah/Bali/2024-10-19,20041.18
Bawang Merah/Bali/2024-10-20,20130.76
Bawang Merah/Bali/2024-10-21,20122.88
Bawang Merah/Bali/2024-10-22,19704.94
Bawang Merah/Bali/2024-10-23,19488.28
Bawang Merah/Bali/2024-10-24,19274.6
Bawang Merah/Bali/2024-10-25,19361.52
Bawang Merah/Bali/2024-10-26,19617.74
Bawang Merah/Bali/2024-10-27,19717.98
Bawang Merah/Bali/2024-10-28,19717.52
Bawang Merah/Bali/2024-10-29,19740.86
Bawang Merah/Bali/2024-10-30,19764.36
Bawang Merah/Bali/2024-10-31,19621.52
Bawang Merah/Bali/2024-11-01,19537.32
Bawang Merah/Bali/2024-11-02,19456.34
Bawang Merah/Bali/2024-11-03,19682.08
Bawang Merah/Bali/2024-11-04,20158.78
